id,category,issue,keywords,platform,description,do,dont,codeGood,codeBad,severity,source
ux-guidelines-28,Interaction,Focus States,,All,Keyboard users need visible focus indicators,Use visible focus rings on interactive elements,Remove focus outline without replacement,focus:ring-2 focus:ring-blue-500,outline-none without alternative,High,ux-guidelines.csv
ux-guidelines-29,Interaction,Hover States,,Web,Visual feedback on interactive elements,Change cursor and add subtle visual change,No hover feedback on clickable elements,hover:bg-gray-100 cursor-pointer,No hover style,Medium,ux-guidelines.csv
ux-guidelines-30,Interaction,Active States,,All,Show immediate feedback on press/click,Add pressed/active state visual change,No feedback during interaction,active:scale-95,No active state,Medium,ux-guidelines.csv
ux-guidelines-31,Interaction,Disabled States,,All,Clearly indicate non-interactive elements,Reduce opacity and change cursor,Confuse disabled with normal state,opacity-50 cursor-not-allowed,Same style as enabled,Medium,ux-guidelines.csv
ux-guidelines-32,Interaction,Loading Buttons,,All,Prevent double submission during async actions,Disable button and show loading state,Allow multiple clicks during processing,disabled={loading} spinner,Button clickable while loading,High,ux-guidelines.csv
ux-guidelines-33,Interaction,Error Feedback,,All,Users need to know when something fails,Show clear error messages near problem,Silent failures with no feedback,Red border + error message,No indication of error,High,ux-guidelines.csv
ux-guidelines-34,Interaction,Success Feedback,,All,Confirm successful actions to users,Show success message or visual change,No confirmation of completed action,Toast notification or checkmark,Action completes silently,Medium,ux-guidelines.csv
ux-guidelines-35,Interaction,Confirmation Dialogs,,All,Prevent accidental destructive actions,Confirm before delete/irreversible actions,Delete without confirmation,Are you sure modal,Direct delete on click,High,ux-guidelines.csv
ux-guidelines-36,Accessibility,Color Contrast,,All,Text must be readable against background,Minimum 4.5:1 ratio for normal text,Low contrast text,#333 on white (7:1),#999 on white (2.8:1),High,ux-guidelines.csv
ux-guidelines-37,Accessibility,Color Only,,All,Don't convey information by color alone,Use icons/text in addition to color,Red/green only for error/success,Red text + error icon,Red border only for error,High,ux-guidelines.csv
ux-guidelines-38,Accessibility,Alt Text,,All,Images need text alternatives,Descriptive alt text for meaningful images,Empty or missing alt attributes,alt='Dog playing in park',alt='' for content images,High,ux-guidelines.csv
ux-guidelines-39,Accessibility,Heading Hierarchy,,Web,Screen readers use headings for navigation,Use sequential heading levels h1-h6,Skip heading levels or misuse for styling,h1 then h2 then h3,h1 then h4,Medium,ux-guidelines.csv
ux-guidelines-40,Accessibility,ARIA Labels,,All,Interactive elements need accessible names,Add aria-label for icon-only buttons,Icon buttons without labels,aria-label='Close menu',<button><Icon/></button>,High,ux-guidelines.csv
ux-guidelines-41,Accessibility,Keyboard Navigation,,Web,All functionality accessible via keyboard,Tab order matches visual order,Keyboard traps or illogical tab order,tabIndex for custom order,Unreachable elements,High,ux-guidelines.csv
ux-guidelines-42,Accessibility,Screen Reader,,All,Content should make sense when read aloud,Use semantic HTML and ARIA properly,Div soup with no semantics,<nav> <main> <article>,<div> for everything,Medium,ux-guidelines.csv
ux-guidelines-43,Accessibility,Form Labels,,All,Inputs must have associated labels,Use label with for attribute or wrap input,Placeholder-only inputs,<label for='email'>,placeholder='Email' only,High,ux-guidelines.csv
ux-guidelines-44,Accessibility,Error Messages,,All,Error messages must be announced,Use aria-live or role=alert for errors,Visual-only error indication,role='alert',Red border only,High,ux-guidelines.csv
ux-guidelines-45,Accessibility,Skip Links,,Web,Allow keyboard users to skip navigation,Provide skip to main content link,No skip link on nav-heavy pages,Skip to main content link,100 tabs to reach content,Medium,ux-guidelines.csv
ux-guidelines-46,Performance,Image Optimization,,All,Large images slow page load,Use appropriate size and format (WebP),Unoptimized full-size images,srcset with multiple sizes,4000px image for 400px display,High,ux-guidelines.csv
ux-guidelines-47,Performance,Lazy Loading,,All,Load content as needed,Lazy load below-fold images and content,Load everything upfront,loading='lazy',All images eager load,Medium,ux-guidelines.csv
ux-guidelines-48,Performance,Code Splitting,,Web,Large bundles slow initial load,Split code by route/feature,Single large bundle,dynamic import(),All code in main bundle,Medium,ux-guidelines.csv
ux-guidelines-49,Performance,Caching,,Web,Repeat visits should be fast,Set appropriate cache headers,No caching strategy,Cache-Control headers,Every request hits server,Medium,ux-guidelines.csv
ux-guidelines-50,Performance,Font Loading,,Web,Web fonts can block rendering,Use font-display swap or optional,Invisible text during font load,font-display: swap,FOIT (Flash of Invisible Text),Medium,ux-guidelines.csv
ux-guidelines-51,Performance,Third Party Scripts,,Web,External scripts can block rendering,Load non-critical scripts async/defer,Synchronous third-party scripts,async or defer attribute,<script src='...'> in head,Medium,ux-guidelines.csv
ux-guidelines-52,Performance,Bundle Size,,Web,Large JavaScript slows interaction,Monitor and minimize bundle size,Ignore bundle size growth,Bundle analyzer,No size monitoring,Medium,ux-guidelines.csv
ux-guidelines-53,Performance,Render Blocking,,Web,CSS/JS can block first paint,Inline critical CSS defer non-critical,Large blocking CSS files,Critical CSS inline,All CSS in head,Medium,ux-guidelines.csv
ux-guidelines-54,Forms,Input Labels,,All,Every input needs a visible label,Always show label above or beside input,Placeholder as only label,<label>Email</label><input>,placeholder='Email' only,High,ux-guidelines.csv
ux-guidelines-55,Forms,Error Placement,,All,Errors should appear near the problem,Show error below related input,Single error message at top of form,Error under each field,All errors at form top,Medium,ux-guidelines.csv
ux-guidelines-56,Forms,Inline Validation,,All,Validate as user types or on blur,Validate on blur for most fields,Validate only on submit,onBlur validation,Submit-only validation,Medium,ux-guidelines.csv
ux-guidelines-57,Forms,Input Types,,All,Use appropriate input types,Use email tel number url etc,Text input for everything,type='email',type='text' for email,Medium,ux-guidelines.csv
ux-guidelines-58,Forms,Autofill Support,,Web,Help browsers autofill correctly,Use autocomplete attribute properly,Block or ignore autofill,autocomplete='email',autocomplete='off' everywhere,Medium,ux-guidelines.csv
ux-guidelines-59,Forms,Required Indicators,,All,Mark required fields clearly,Use asterisk or (required) text,No indication of required fields,* required indicator,Guess which are required,Medium,ux-guidelines.csv
ux-guidelines-60,Forms,Password Visibility,,All,Let users see password while typing,Toggle to show/hide password,No visibility toggle,Show/hide password button,Password always hidden,Medium,ux-guidelines.csv
ux-guidelines-61,Forms,Submit Feedback,,All,Confirm form submission status,Show loading then success/error state,No feedback after submit,Loading -> Success message,Button click with no response,High,ux-guidelines.csv
ux-guidelines-62,Forms,Input Affordance,,All,Inputs should look interactive,Use distinct input styling,Inputs that look like plain text,Border/background on inputs,Borderless inputs,Medium,ux-guidelines.csv
ux-guidelines-63,Forms,Mobile Keyboards,,Mobile,Show appropriate keyboard for input type,Use inputmode attribute,Default keyboard for all inputs,inputmode='numeric',Text keyboard for numbers,Medium,ux-guidelines.csv
ux-guidelines-64,Responsive,Mobile First,,Web,Design for mobile then enhance for larger,Start with mobile styles then add breakpoints,Desktop-first causing mobile issues,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium,ux-guidelines.csv
ux-guidelines-65,Responsive,Breakpoint Testing,,Web,Test at all common screen sizes,Test at 320 375 414 768 1024 1440,Only test on your device,Multiple device testing,Single device development,Medium,ux-guidelines.csv
ux-guidelines-66,Responsive,Touch Friendly,,Web,Mobile layouts need touch-sized targets,Increase touch targets on mobile,Same tiny buttons on mobile,Larger buttons on mobile,Desktop-sized targets on mobile,High,ux-guidelines.csv
ux-guidelines-67,Responsive,Readable Font Size,,All,Text must be readable on all devices,Minimum 16px body text on mobile,Tiny text on mobile,text-base or larger,text-xs for body text,High,ux-guidelines.csv
ux-guidelines-68,Responsive,Viewport Meta,,Web,Set viewport for mobile devices,Use width=device-width initial-scale=1,Missing or incorrect viewport,<meta name='viewport'...>,No viewport meta tag,High,ux-guidelines.csv
ux-guidelines-69,Responsive,Horizontal Scroll,,Web,Avoid horizontal scrolling,Ensure content fits viewport width,Content wider than viewport,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High,ux-guidelines.csv
ux-guidelines-70,Responsive,Image Scaling,,Web,Images should scale with container,Use max-width: 100% on images,Fixed width images overflow,max-w-full h-auto,width='800' fixed,Medium,ux-guidelines.csv
ux-guidelines-71,Responsive,Table Handling,,Web,Tables can overflow on mobile,Use horizontal scroll or card layout,Wide tables breaking layout,overflow-x-auto wrapper,Table overflows viewport,Medium,ux-guidelines.csv
ux-guidelines-72,Typography,Line Height,,All,Adequate line height improves readability,Use 1.5-1.75 for body text,Cramped or excessive line height,leading-relaxed (1.625),leading-none (1),Medium,ux-guidelines.csv
ux-guidelines-73,Typography,Line Length,,Web,Long lines are hard to read,Limit to 65-75 characters per line,Full-width text on large screens,max-w-prose,Full viewport width text,Medium,ux-guidelines.csv
ux-guidelines-74,Typography,Font Size Scale,,All,Consistent type hierarchy aids scanning,Use consistent modular scale,Random font sizes,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium,ux-guidelines.csv
ux-guidelines-75,Typography,Font Loading,,Web,Fonts should load without layout shift,Reserve space with fallback font,Layout shift when fonts load,font-display: swap + similar fallback,No fallback font,Medium,ux-guidelines.csv
ux-guidelines-76,Typography,Contrast Readability,,All,Body text needs good contrast,Use darker text on light backgrounds,Gray text on gray background,text-gray-900 on white,text-gray-400 on gray-100,High,ux-guidelines.csv
ux-guidelines-77,Typography,Heading Clarity,,All,Headings should stand out from body,Clear size/weight difference,Headings similar to body text,Bold + larger size,Same size as body,Medium,ux-guidelines.csv
ux-guidelines-78,Feedback,Loading Indicators,,All,Show system status during waits,Show spinner/skeleton for operations > 300ms,No feedback during loading,Skeleton or spinner,Frozen UI,High,ux-guidelines.csv
ux-guidelines-79,Feedback,Empty States,,All,Guide users when no content exists,Show helpful message and action,Blank empty screens,No items yet. Create one!,Empty white space,Medium,ux-guidelines.csv
ux-guidelines-80,Feedback,Error Recovery,,All,Help users recover from errors,Provide clear next steps,Error without recovery path,Try again button + help link,Error message only,Medium,ux-guidelines.csv
ux-guidelines-81,Feedback,Progress Indicators,,All,Show progress for multi-step processes,Step indicators or progress bar,No indication of progress,Step 2 of 4 indicator,No step information,Medium,ux-guidelines.csv
ux-guidelines-82,Feedback,Toast Notifications,,All,Transient messages for non-critical info,Auto-dismiss after 3-5 seconds,Toasts that never disappear,Auto-dismiss toast,Persistent toast,Medium,ux-guidelines.csv
ux-guidelines-83,Feedback,Confirmation Messages,,All,Confirm successful actions,Brief success message,Silent success,Saved successfully toast,No confirmation,Medium,ux-guidelines.csv
ux-guidelines-84,Content,Truncation,,All,Handle long content gracefully,Truncate with ellipsis and expand option,Overflow or broken layout,line-clamp-2 with expand,Overflow or cut off,Medium,ux-guidelines.csv
ux-guidelines-85,Content,Date Formatting,,All,Use locale-appropriate date formats,Use relative or locale-aware dates,Ambiguous date formats,2 hours ago or locale format,01/02/03,Low,ux-guidelines.csv
ux-guidelines-86,Content,Number Formatting,,All,Format large numbers for readability,Use thousand separators or abbreviations,Long unformatted numbers,"1.2K or 1,234",1234567,Low,ux-guidelines.csv
ux-guidelines-87,Content,Placeholder Content,,All,Show realistic placeholders during dev,Use realistic sample data,Lorem ipsum everywhere,Real sample content,Lorem ipsum,Low,ux-guidelines.csv
ux-guidelines-88,Onboarding,User Freedom,,All,Users should be able to skip tutorials,Provide Skip and Back buttons,Force linear unskippable tour,Skip Tutorial button,Locked overlay until finished,Medium,ux-guidelines.csv
ux-guidelines-89,Search,Autocomplete,,Web,Help users find results faster,Show predictions as user types,Require full type and enter,Debounced fetch + dropdown,No suggestions,Medium,ux-guidelines.csv
ux-guidelines-90,Search,No Results,,Web,Dead ends frustrate users,Show 'No results' with suggestions,Blank screen or '0 results',Try searching for X instead,No results found.,Medium,ux-guidelines.csv
ux-guidelines-91,Data Entry,Bulk Actions,,Web,Editing one by one is tedious,Allow multi-select and bulk edit,Single row actions only,Checkbox column + Action bar,Repeated actions per row,Low,ux-guidelines.csv
ux-guidelines-92,AI Interaction,Disclaimer,,All,Users need to know they talk to AI,Clearly label AI generated content,Present AI as human,AI Assistant label,Fake human name without label,High,ux-guidelines.csv
ux-guidelines-93,AI Interaction,Streaming,,All,Waiting for full text is slow,Stream text response token by token,Show loading spinner for 10s+,Typewriter effect,Spinner until 100% complete,Medium,ux-guidelines.csv
ux-guidelines-94,Spatial UI,Gaze Hover,,VisionOS,Elements should respond to eye tracking before pinch,Scale/highlight element on look,Static element until pinch,hoverEffect(),onTap only,High,ux-guidelines.csv
ux-guidelines-95,Spatial UI,Depth Layering,,VisionOS,UI needs Z-depth to separate content from environment,Use glass material and z-offset,Flat opaque panels blocking view,.glassBackgroundEffect(),bg-white,Medium,ux-guidelines.csv
ux-guidelines-96,Sustainability,Auto-Play Video,,Web,Video consumes massive data and energy,Click-to-play or pause when off-screen,Auto-play high-res video loops,playsInline muted preload='none',autoplay loop,Medium,ux-guidelines.csv
ux-guidelines-97,Sustainability,Asset Weight,,Web,Heavy 3D/Image assets increase carbon footprint,Compress and lazy load 3D models,Load 50MB textures,Draco compression,Raw .obj files,Medium,ux-guidelines.csv
ux-guidelines-98,AI Interaction,Feedback Loop,,All,AI needs user feedback to improve,Thumps up/down or 'Regenerate',Static output only,Feedback component,Read-only text,Low,ux-guidelines.csv
ux-guidelines-99,Accessibility,Motion Sensitivity,,All,Parallax/Scroll-jacking causes nausea,Respect prefers-reduced-motion,Force scroll effects,@media (prefers-reduced-motion),ScrollTrigger.create(),High,ux-guidelines.csv
web-interface-1,Accessibility,Icon Button Labels,icon button aria-label,Web,Icon-only buttons must have accessible names,Add aria-label to icon buttons,Icon button without label,<button aria-label='Close'><XIcon /></button>,<button><XIcon /></button>,Critical,web-interface.csv
web-interface-2,Accessibility,Form Control Labels,form input label aria,Web,All form controls need labels or aria-label,Use label element or aria-label,Input without accessible name,<label for='email'>Email</label><input id='email' />,<input placeholder='Email' />,Critical,web-interface.csv
web-interface-3,Accessibility,Keyboard Handlers,keyboard onclick onkeydown,Web,Interactive elements must support keyboard interaction,Add onKeyDown alongside onClick,Click-only interaction,<div onClick={fn} onKeyDown={fn} tabIndex={0}>,<div onClick={fn}>,High,web-interface.csv
web-interface-4,Accessibility,Semantic HTML,semantic button a label,Web,Use semantic HTML before ARIA attributes,Use button/a/label elements,Div with role attribute,<button onClick={fn}>Submit</button>,<div role='button' onClick={fn}>Submit</div>,High,web-interface.csv
web-interface-5,Accessibility,Aria Live,aria-live polite async,Web,Async updates need aria-live for screen readers,Add aria-live='polite' for dynamic content,Silent async updates,<div aria-live='polite'>{status}</div>,<div>{status}</div> // no announcement,Medium,web-interface.csv
web-interface-6,Accessibility,Decorative Icons,aria-hidden decorative icon,Web,Decorative icons should be hidden from screen readers,Add aria-hidden='true' to decorative icons,Decorative icon announced,<Icon aria-hidden='true' />,<Icon /> // announced as 'image',Medium,web-interface.csv
web-interface-7,Focus,Visible Focus States,focus-visible outline ring,Web,All interactive elements need visible focus states,Use :focus-visible with ring/outline,No focus indication,focus-visible:ring-2 focus-visible:ring-blue-500,outline-none // no replacement,Critical,web-interface.csv
web-interface-8,Focus,Never Remove Outline,outline-none focus replacement,Web,Never remove outline without providing replacement,Replace outline with visible alternative,Remove outline completely,focus:outline-none focus:ring-2,focus:outline-none // nothing else,Critical,web-interface.csv
web-interface-9,Focus,Checkbox Radio Hit Target,checkbox radio label target,Web,Checkbox/radio must share hit target with label,Wrap input and label together,Separate tiny checkbox,<label class='flex gap-2'><input type='checkbox' /><span>Option</span></label>,<input type='checkbox' id='x' /><label for='x'>Option</label>,Medium,web-interface.csv
web-interface-10,Forms,Autocomplete Attribute,autocomplete input form,Web,Inputs need autocomplete attribute for autofill,Add appropriate autocomplete value,Missing autocomplete,<input autocomplete='email' type='email' />,<input type='email' />,High,web-interface.csv
web-interface-11,Forms,Semantic Input Types,input type email tel url,Web,Use semantic input type attributes,Use email/tel/url/number types,text type for everything,<input type='email' />,<input type='text' /> // for email,Medium,web-interface.csv
web-interface-12,Forms,Never Block Paste,paste onpaste password,Web,Never prevent paste functionality,Allow paste on all inputs,Block paste on password/code,<input type='password' />,<input onPaste={e => e.preventDefault()} />,High,web-interface.csv
web-interface-13,Forms,Spellcheck Disable,spellcheck email code,Web,Disable spellcheck on emails and codes,Set spellcheck='false' on codes,Spellcheck on technical input,<input spellCheck='false' type='email' />,<input type='email' /> // red squiggles,Low,web-interface.csv
web-interface-14,Forms,Submit Button Enabled,submit button disabled loading,Web,Keep submit enabled and show spinner during requests,Show loading spinner keep enabled,Disable button during submit,<button>{loading ? <Spinner /> : 'Submit'}</button>,<button disabled={loading}>Submit</button>,Medium,web-interface.csv
web-interface-15,Forms,Inline Errors,error message inline focus,Web,Show error messages inline near the problem field,Inline error with focus on first error,Single error at top,<input /><span class='text-red-500'>{error}</span>,<div class='error'>{allErrors}</div> // at top,High,web-interface.csv
web-interface-16,Performance,Virtualize Lists,virtualize list 50 items,Web,Virtualize lists exceeding 50 items,Use virtual list for large datasets,Render all items,<VirtualList items={items} />,items.map(item => <Item />),High,web-interface.csv
web-interface-17,Performance,Avoid Layout Reads,layout read render getboundingclientrect,Web,Avoid layout reads during render phase,Read layout in effects or callbacks,getBoundingClientRect in render,useEffect(() => { el.getBoundingClientRect() }),const rect = el.getBoundingClientRect() // in render,Medium,web-interface.csv
web-interface-18,Performance,Batch DOM Operations,batch dom write read,Web,Group DOM operations to minimize reflows,Batch writes then reads,Interleave reads and writes,writes.forEach(w => w()); reads.forEach(r => r()),write(); read(); write(); read(); // thrashing,Medium,web-interface.csv
web-interface-19,Performance,Preconnect CDN,preconnect link cdn,Web,Add preconnect links for CDN domains,Preconnect to known domains,<link rel='preconnect' href='https://cdn.example.com' />,// no preconnect hint,Low,MEDIUM,web-interface.csv
web-interface-20,Performance,Lazy Load Images,lazy loading image below-fold,Web,Lazy-load images below the fold,Use loading='lazy' for below-fold images,Load all images eagerly,<img loading='lazy' src='...' />,<img src='...' /> // above fold only,Medium,web-interface.csv
web-interface-21,State,URL Reflects State,url state query params,Web,URL should reflect current UI state,Sync filters/tabs/pagination to URL,State only in memory,?tab=settings&page=2,useState only // lost on refresh,High,web-interface.csv
web-interface-22,State,Deep Linking,deep link stateful component,Web,Stateful components should support deep-linking,Enable sharing current view via URL,No shareable state,router.push({ query: { ...filters } }),setFilters(f) // not in URL,Medium,web-interface.csv
web-interface-23,State,Confirm Destructive Actions,confirm destructive delete modal,Web,Destructive actions require confirmation,Show confirmation dialog before delete,Delete without confirmation,if (confirm('Delete?')) delete(),onClick={delete} // no confirmation,High,web-interface.csv
web-interface-24,Typography,Proper Unicode,unicode ellipsis quotes,Web,Use proper Unicode characters,Use ... curly quotes proper dashes,ASCII approximations,'Hello...' with proper ellipsis,'Hello...' with three dots,Low,web-interface.csv
web-interface-25,Typography,Text Overflow,truncate line-clamp overflow,Web,Handle text overflow properly,Use truncate/line-clamp/break-words,Text overflows container,<p class='truncate'>Long text...</p>,<p>Long text...</p> // overflows,Medium,web-interface.csv
web-interface-26,Typography,Non-Breaking Spaces,nbsp unit brand,Web,Use non-breaking spaces for units and brand names,Use &nbsp; between number and unit,10&nbsp;kg or Next.js&nbsp;14,10 kg // may wrap,Low,MEDIUM,web-interface.csv
web-interface-27,Anti-Pattern,No Zoom Disable,viewport zoom disable,Web,Never disable zoom in viewport meta,Allow user zoom,<meta name='viewport' content='width=device-width'>,<meta name='viewport' content='maximum-scale=1'>,Critical,MEDIUM,web-interface.csv
web-interface-28,Anti-Pattern,No Transition All,transition all specific,Web,Avoid transition: all - specify properties,Transition specific properties,transition: all,transition-colors duration-200,transition-all duration-200,Medium,web-interface.csv
web-interface-29,Anti-Pattern,Outline Replacement,outline-none ring focus,Web,Never use outline-none without replacement,Provide visible focus replacement,Remove outline with nothing,focus:outline-none focus:ring-2 focus:ring-blue-500,focus:outline-none // alone,Critical,web-interface.csv
web-interface-30,Anti-Pattern,No Hardcoded Dates,date format intl locale,Web,Use Intl for date/number formatting,Use Intl.DateTimeFormat,Hardcoded date format,new Intl.DateTimeFormat('en').format(date),date.toLocaleDateString() // or manual format,Medium,web-interface.csv
react-performance-1,Async Waterfall,Defer Await,async await defer branch,React/Next.js,Move await into branches where actually used to avoid blocking unused code paths,Move await operations into branches where they're needed,Await at top of function blocking all branches,if (skip) return { skipped: true }; const data = await fetch(),const data = await fetch(); if (skip) return { skipped: true },Critical,react-performance.csv
react-performance-2,Async Waterfall,Promise.all Parallel,promise all parallel concurrent,React/Next.js,Execute independent async operations concurrently using Promise.all(),Use Promise.all() for independent operations,Sequential await for independent operations,"const [user, posts] = await Promise.all([fetchUser(), fetchPosts()])",const user = await fetchUser(); const posts = await fetchPosts(),Critical,react-performance.csv
react-performance-3,Async Waterfall,Dependency Parallelization,better-all dependency parallel,React/Next.js,Use better-all for operations with partial dependencies to maximize parallelism,Use better-all to start each task at earliest possible moment,Wait for unrelated data before starting dependent fetch,"await all({ user() {}, config() {}, profile() { return fetch((await this.$.user).id) } })","const [user, config] = await Promise.all([...]); const profile = await fetchProfile(user.id)",Critical,react-performance.csv
react-performance-4,Async Waterfall,API Route Optimization,api route waterfall promise,React/Next.js,In API routes start independent operations immediately even if not awaited yet,Start promises early and await late,Sequential awaits in API handlers,const sessionP = auth(); const configP = fetchConfig(); const session = await sessionP,const session = await auth(); const config = await fetchConfig(),Critical,react-performance.csv
react-performance-5,Async Waterfall,Suspense Boundaries,suspense streaming boundary,React/Next.js,Use Suspense to show wrapper UI faster while data loads,Wrap async components in Suspense boundaries,Await data blocking entire page render,<Suspense fallback={<Skeleton />}><DataDisplay /></Suspense>,const data = await fetchData(); return <DataDisplay data={data} />,High,react-performance.csv
react-performance-6,Bundle Size,Barrel Imports,barrel import direct path,React/Next.js,Import directly from source files instead of barrel files to avoid loading unused modules,Import directly from source path,Import from barrel/index files,import Check from 'lucide-react/dist/esm/icons/check',import { Check } from 'lucide-react',Critical,react-performance.csv
react-performance-7,Bundle Size,Dynamic Imports,dynamic import lazy next,React/Next.js,Use next/dynamic to lazy-load large components not needed on initial render,Use dynamic() for heavy components,Import heavy components at top level,"const Monaco = dynamic(() => import('./monaco'), { ssr: false })",import { MonacoEditor } from './monaco-editor',Critical,react-performance.csv
react-performance-8,Bundle Size,Defer Third Party,analytics defer third-party,React/Next.js,Load analytics and logging after hydration since they don't block interaction,Load non-critical scripts after hydration,Include analytics in main bundle,"const Analytics = dynamic(() => import('@vercel/analytics'), { ssr: false })",import { Analytics } from '@vercel/analytics/react',Medium,react-performance.csv
